bar_enemy_facing_right,面向右,Facing Right,右を向いている,Rechtsherum schauend,Regarde à droite,Mirando a la derecha,Смотрит вправо,เห็นทางขวา,오른쪽을 향한,يواجه اليمين,Guardando a destra,Olhando para a direita
bar_enemy_notpatroling,不巡逻,Not Patroling,巡回していない,Patrouilliert nicht,Ne patrouille pas,No patrulla,Не патрулирует,ไม่มีการส่ง,순찰하지 않음,لا يقوم بالدوريات,Non in pattugliamento,Não faz patrulhamento
bar_enemy_patroling,随机方向巡逻,Random Patroling,ランダムなパトロール,Zufällige Patrouille,Patrouille aléatoire,Patrullaje aleatorio,Случайное патрулирование,การตรวจอาสาสุ่ม,랜덤 순찰,دوريات عشوائية,Patroling casuale,Patrulhamento aleatório
bar_enemy_patrolleft,向左巡逻,Patrol Left,左巡回,Linkspatrouille,Patrouille à gauche,Patrulla hacia la izquierda,Патрулирование влево,ปาตรูลด้านซ้าย,왼쪽으로 순찰,الدوريات إلى اليسار,Patrol sinistra,Patrulha para a esquerda
bar_enemy_patrolright,向右巡逻,Patrol Right,右巡回,Rechtspatrouille,Patrouille à droite,Patrulla hacia la derecha,Патрулирование вправо,ปาตรูลด้านขวา,오른쪽으로 순찰,الدوريات إلى اليمين,Patrol destra,Patrulha para a direita
bar_female,女性,Female,女性,Weiblich,Femme,Femenino,Женский,หญิง,여성,أنثى,Femmina,Feminino
bar_flower,花形,FLOWER,花形,Blume,Flower,Flor,Цветок,ดอกไม้,꽃,زهرة,Fiore,Flores
bar_fullmap,全图型,FULL MAP,全マップ,Volle Karte,Carte complète,Mapa completo,Полная карта,แผนที่ทั้งหมด,전체 지도,خريطة كاملة,Mappa completa,Mapa completo
bar_high,高999,High999,高999,Hoch999,Haut999,Alto999,Высокий999,สูง999,높음999,عالي999,Alto999,Alto999
bar_item_noproperty,无属性,No Attribute,無属性,Keine Eigenschaft,Aucune propriété,Sin atributo,Без атрибута,ไม่มีแอตทริบิวต์,속성 없음,بدون سمة,Senza attributo,Sem atributo
bar_item_property,物品属性,Item Property,アイテムのプロパティ,Artikeleigenschaft,Propriété de l'article,Atributo del objeto,Свойства предмета,คุณสมบัติของไอเท็ม,아이템 속성,خاصية العنصر,Proprietà dell'oggetto,Propriedade do item
bar_item_property_ability,能力属性,Ability Attributes,アビリティ属性,Fähigkeitsattribute,Attributs de capacité,Atributos de habilidad,Атрибуты способностей,คุณลักษณะความสามารถ,능력 속성,سمات القدرة,Attributs de capacité,Atributos de habilidad
bar_item_property_basic,基本属性,Basic Attributes,基本特性,Grundattribute,Attributs de base,Atributos básicos,Основные атрибуты,คุณสมบัติพื้นฐาน,기본 속성,الخصائص الأساسية,Attributi di base,Atributos básicos
bar_item_property_custom,自定义属性,Custom Attributes,カスタムプロパティ,Individuelle Attribute,Attributs personnalisés,Atributos personalizados,Пользовательские атрибуты,คุณสมบัติที่กำหนดเอง,사용자 정의 속성,السمات المخصصة,Attributi personalizzati,Atributos personalizados
bar_item_property_random,随机属性,Random,ランダムな属性,Zufällig,Aléatoire,Aleatorio,Случайный,สุ่ม,랜덤,عشوائي,Random,Aleatório
bar_item_property_random_all,完全随机,All Random,完全ランダム,Völlig zufällig,Complètement aléatoire,Completamente aleatorio,Полностью случайный,สุ่มอย่างสมบูรณ์,완전 무작위,عشوائي تماما,Completamente casuale,Completamente aleatório
bar_item_property_random_atk,进攻属性,Attack Attributes,進攻属性,Angriffsattribute,Attributs d'attaque,Atributos de ataque,Атрибуты атаки,คุณสมบัติการโจมตี,공격 속성,خصائص الهجوم,Attributi di attacco,Atributos de ataque
bar_item_property_random_custom,自定义属性,Custom Attributes,カスタムプロパティ,Individuelle Attribute,Attributs personnalisés,Atributos personalizados,Пользовательские атрибуты,คุณสมบัติที่กำหนดเอง,사용자 정의 속성,خصائص مخصصة,Attributi personalizzati,Atributos personalizados
bar_item_property_random_def,防御属性,Defend Attributes,防御属性,Verteidigungsattribute,Attributs de défense,Atributos de defensa,Защитные атрибуты,คุณสมบัติการป้องกัน,방어 속성,خصائص الدفاع,Attributi di difesa,Atributos de defensa
bar_itemlevel,物品等级,Item Level,品目レベル,Artikel-Ebene,Niveau de l'objet,Nivel de artículo,Уровень элемента,ระดับรายการ,아이템 레벨,مستوى العنصر,Livello oggetto,Nível do item
bar_level,级别,level,レベル,Ebene,niveau,nivel,уровень,ระดับ,수준,مستوى,livello,nível
bar_lightshape,光源形状,Shape,光源形状,Die Form der Lichtquelle,Forme de la lumière,Forma de la luz,Форма света,รูปร่างแสง,빛 모양,شكل الضوء,Forma della luce,Forma da luz
bar_line,直线,Line,直線,Linie,Ligne,Línea,Линия,เส้น,선,خط,Linea,Linha
bar_low,低255,Low255,低255,Niedrig255,Bas255,Bajo255,Низкий255,ต่ำ255,낮음255,منخفض255,Basso255,Baixo255
bar_male,男性,Male,男性,Männlich,Mâle,Masculino,Мужской,ชาย,남성,ذكر,Maschio,Masculino
bar_na,不使用,Not Available,不使用,Nicht verfügbar,Non disponible,No disponible,Не доступно,ไม่มี,사용 불가,غير متاح,Non disponibile,Não disponível
bar_nocategory,不分类,No Category,不分类,Nicht kategorisiert,Non catégorisé,Sin categorizar,Без категории,ไม่มีหมวดหมู่,분류 없음,بدون فئة,Nessuna categoria,Sem categoria
bar_notdlc,非DLC,Not DLC,非DLC,Kein DLC,Pas de DLC,No es un DLC,Не является DLC,ไม่ใช่ DLC,DLC 아님,ليس تنزيل محتوى إضافي,Non è un DLC,Não é um DLC
bar_notgrouped,未分组,Not Grouped,未分類,Nicht gruppiert,Non regroupé,No agrupado,Группировка отсутствует,ไม่มีกลุ่ม,그룹화되지 않음,غير مجمع,Non raggruppato,Não agrupado
bar_other,其他,Other,その他,Sonstiges,Autre,Otro,Другое,อื่น ๆ,기타,آخر,Altro,Outro
bar_point,点,POINT,点,Punkt,Point,Punto,Точка,จุด,포인트,نقطة,Punto,Ponto
bar_preset,预设,Preset,プリセット,Voreinstellung,Préréglage,Preestablecido,Предустановка,การตั้งค่าล่วงหน้า,프리셋,الوضع المسبق,Preimpostazione,Preset
bar_ring,环形,RING,環形,Ring,Anneau,Anillo,Кольцо,วงแหวน,링,حلقة,Anello,Anel
bar_sector,扇形,SECTOR,扇形,Sektor,Secteur,Sector,Сектор,ซีกเตอร์,섹터,قطاع,Settore,Sector
bar_select,请选择,Please Select,選択してください,Bitte auswählen,S’il vous plaît sélectionner,Por favor seleccione,Пожалуйста выберите,โปรดเลือก,선택해주세요,يرجى التحديد,Per favore seleziona,Selecione por favor
bar_self,自身,SELF,自身,Selbst,Soi-même,Propio,Сам,ตัวเอง,자신,ذات,Se stesso,Próprio
bar_skill_attribute,属性加成,Attributes,属性ボーナス,Attributs-Boni,Bonus d’attributs,Bonificaciones de atributos,Бонус атрибута,โบนัสแอตทริบิวต์,속성,مكافأة السمة,Attributi,Bônus de atributo
bar_skill_attribute_hp,生命值,HP,生命值,HP,ポイント,Points de vie,Очки здоровья,คะแนนชีวิต,체력,نقاط الصحة,Punti salute,Pontos de vida
bar_skill_attribute_sp,必杀技,SP,必杀技,SP,Attaque spéciale,Ataque especial,Специальная атака,สกิลพิเศษ,필살기,ضربة قاضية,Abilità speciale,Poder especial
bar_skill_attribute_stamina,体力,Stamina,スタミナ,Physisch,Physique,Físico,Физический,ทางกายภาพ,육체의,بدني,Fisico,Física
bar_skill_category_ablity,能力属性,Ability Attributes,アビリティ属性,Fähigkeits-Attribute,Attributs de capacité,Atributos de habilidad,Атрибуты способностей,คุณลักษณะความสามารถ,능력 속성,سمات القدرة,Attributi delle abilità,Atributos de habilidade
bar_skill_category_basic,基本属性,Basic Attributes,基本の特性,Grundlegende Eigenschaften,Propriétés de base,Propiedades básicas,Основные характеристики,คุณสมบัติพื้นฐาน,기본 속성,خصائص أساسية,Attributi di base,Atributos básicos
bar_skill_category_basic_hp,生命最大值,MAX HP,生命最大值,Maximale Lebensdauer,Points de vie max,Máximo de puntos de vida,Максимальный срок службы,HP สูงสุด,최대 체력,أقصى نقاط الصحة,Massimo HP,Máximo de HP
bar_skill_category_basic_mp,MP最大值,MAX MP,MP最大值,MP maximal,PM maximum,MP máximo,MP максимум,MP สูงสุด,최대 마나,أقصى نقاط الطاقة,Massimo MP,Máximo de MP
bar_skill_category_basic_stamina,体力最大值,MAX Stamina,最大スタミナ,Maximale Ausdauer,Endurance maximale,Resistencia máxima,Максимальная выносливость,ความอดทนสูงสุด,최대 스태미너,أقصى قوة العضلات,Massima resistenza,Máximo de Stamina
bar_skill_value,数值类型,Type of Value,数值タイプ,Wertart,Type de valeur,Tipo de valor,Тип значения,ประเภทของค่า,값 유형,نوع القيمة,Tipo di Valore,Tipo de Valor
bar_skill_value_fixed,固定值,Fixed Value,固定值,Fester Wert,Valeur fixe,Valor fijo,Значение фиксировано,ค่าคงที่,고정 값,القيمة الثابتة,Valore fisso,Valor Fixo
bar_skill_value_precent,当前值百分比,Precent Value,パーセント値,Prozentualer Anteil am aktuellen Wert,Pourcentage de la valeur,Valor porcentual,Процентное значение,ค่าเปอร์เซ็นต์,퍼센트 값,نسبة القيمة,Valore percentuale,Valor de Porcentaje
bar_skill_value_precentmax,最大值百分比,Precent of Maximum Value,最大値のパーセント,Maximaler Prozentsatz,Pourcentage de la valeur maximale,Porcentaje del valor máximo,Процент от максимального значения,ค่าเปอร์เซ็นต์ของค่าสูงสุด,최대값의 백분율,نسبة القيمة القصوى,Percentuale del Valore Massimo,Porcentagem do Valor Máximo
bar_square,方形,SQUARE,方形,Quadratisch,Carré,Cuadrado,Квадрат,สี่เหลี่ยมจัตุรัส,사각형,مربع,Quadrato,Quadrado
bar_star,米形,STAR,スター,Meterförmig,En forme de mètre,Con forma de metro,Метровая форма,ดาว,별,نجمة,Stella,Estrela
bar_switch_skill_attribute_mp,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP,MP
bar_wreath,花环形,WREATH,花輪,Blumenkranz,Couronne de fleurs,Corona de flores,Венок,วรีท,화환,الوسام,Corona di fiori,Coroa de flores
basic_control,操作设置,Control,操作設定,Einstellungen für Aktionen,Paramètres d’action,Configuración de la acción,Настройки действий,การตั้งค่าการดําเนินการ,작업 설정,إعدادات الإجراء,Impostazioni dell'azione,Configurações de ação
basic_customize,资源管理,Resources,リソース管理,Ressourcen-Management,gestion des ressources,Gestión de recursos,Управление ресурсами,การจัดการทรัพยากร,자원 관리,إدارة الموارد,Gestione delle risorse,Gestão de recursos
basic_dialogue,对话设置,Dialogue,ダイアログ設定,Dialog,Paramètres de dialogue,Configuración de diálogo,Настройки диалога,การตั้งค่าข้อความสนทนา,대화 설정,إعداد الحوار,Impostazioni del dialogo,Configuração de Diálogo
basic_graphic,图像设置,Graphic,グラフィック設定,Grafik,Ecran,Configuración de gráficos,Настройки графики,การตั้งค่ากราฟิก,그래픽 설정,إعداد الرسومات,Impostazioni grafiche,Configuração de Gráficos
basic_layout,自定义UI布局,UI Layout,カスタムUIレイアウト,UI-Layout,Disposition UI personnalisée,Diseño de la interfaz de usuario personalizada,Пользовательский макет интерфейса,การกำหนดเค้าโครง UI เอง,사용자 지정 UI 레이아웃,تخطيط واجهة المستخدم المخصص,Layout UI personalizzata,Layout de Interface Personalizado
basic_localization,多语言管理,Localization,多言語管理,Localization,Localisation,Localización,Локализация,การจัดการสากล,다국어화,إدارة متعددة اللغات,Gestione multilingua,Gestão multilingue
basic_map,地图结构设置,Map structure,マップ構造の設定,Kartenaufbau-Einstellungen,Structure de la carte,Estructura del mapa,Настройки структуры карты,การตั้งค่าโครงสร้างแผนที่,지도 구조 설정,إعدادات هيكل الخريطة,Struttura della mappa,Estrutura do mapa
basic_menu,菜单界面,Menu,メニュー,Speisekarte,Menu,menú,Меню,เมนู,메뉴,القائمة,Menu,Menu
basic_other,其他设置,Other,その他,Andere,Other,Other,Другие,อื่น ๆ,기타,آخر,Altro,Outro
basic_project,项目信息,Project Information,プロジェクト情報,Projektinformation,Informations sur le projet,Información del proyecto,Информация о проекте,ข้อมูลโครงการ,프로젝트 정보,معلومات المشروع,Informazioni sul progetto,Informações do Projeto
basic_setting,参数设置,Game Setting,設定,Spieleinstellungen,Paramètres de jeu,Configuración del juego,Настройки игры,การตั้งค่าเกม,게임 설정,إعداد اللعبة,Impostazioni di gioco,Configurações do jogo
basic_sound,声音设置,Sound and Music,音声と音楽,Sound und Musik,Son et musique,Sonido y música,Звук и музыка,เสียงและเพลง,사운드 및 음악,الصوت والموسيقى,Suono e musica,Som e Música
basic_starting,初始设置,Initial Setting,初期設定,Anfangseinstellung,Paramètres initiaux,Configuración inicial,Настройка начальной установки,การตั้งค่าเริ่มต้น,초기 설정,الإعداد الأولي,Impostazione iniziale,Configuração Inicial
basic_ui,UI设置,Game UI,UI設定,Spiele UI,Paramètres d'interface de jeu,Configuración de la interfaz de juego,Настройки интерфейса игры,การตั้งค่า UI ของเกม,게임 UI,إعداد واجهة المستخدم للعبة,Impostazioni dell'interfaccia utente di gioco,Configuração de Interface de Jogo
box_avatar,头像列表,Avatar List,アバターリスト,Avatarliste,Liste d'avatar,Lista de avatares,Список аватаров,รายชื่ออวาตาร์,아바타 목록,قائمة الصور الرمزية,Elenco degli avatar,Lista de avatares
box_character,角色列表,Character List,キャラクターリスト,Charakterliste,Liste de personnages,Lista de personajes,Список персонажей,รายชื่อตัวละคร,캐릭터 목록,قائمة الشخصيات,Elenco dei personaggi,Lista de funções
box_property,属性列表,Property List,プロパティリスト,Eigenschaftsliste,Liste des propriétés,Lista de propiedades,Список свойств,รายการคุณสมบัติ,속성 목록,قائمة الخصائص,Elenco delle proprietà,Uma lista de propriedades
box_sound,声音列表,Sound List,サウンドリスト,Klangliste,Liste des sons,Lista de sonidos,Список звуков,รายการเสียง,사운드 목록,قائمة الأصوات,Elenco dei suoni,Lista de sons
box_variable,变量列表,Variable List,変数リスト,Variable Liste,Liste des variables,Lista de variables,Список переменных,รายการตัวแปร,변수 목록,قائمة المتغيرات,Elenco delle variabili,Lista de variáveis
box_video,视频列表,Video List,ビデオリスト,Video Liste,Liste des vidéos,Lista de videos,Список видео,รายการวิดีโอ,비디오 목록,قائمة الفيديو,Elenco dei video,Lista de vídeos
button_all,全部,All,すべて,Alle,Tout,Todo,Все,ทั้งหมด,모두,الكل,Tutti,Todos
button_animation,播放动画,Animation,アニメーションを再生,Animation abspielen,Lire l'animation,Reproducir animación,Воспроизвести анимацию,เล่นอนิเมชัน,애니메이션 재생,تشغيل الرسوم المتحركة,Riproduci animazione,Reproduzir Animação
button_animation_custom,自定义精灵,Custom,カスタムアニメーション,Angepasste Animation,Animation personnalisée,Animación personalizada,Настройка анимации,อนิเมชันแบบกำหนดเอง,사용자 정의 애니메이션,رسم متحرك مخصص,Animazione personalizzata,Animação Personalizada
button_animation_editor,动画编辑,Animation Editor,アニメーションエディタ,Animationseditor,Éditeur d'animation,Editor de animaciones,Редактор анимации,ตัวแก้ไขอนิเมชั่น,애니메이션 편집기,محرر الرسوم المتحركة,Editor di animazione,Editor de Animação
button_animation_framedetail,动作及判定设置,Frame Detail Settings,フレーム詳細設定,Detail-Einstellungen für Frames,Paramètres de détail de la trame,Ajustes de detalle de fotograma,Настройки деталей кадра,การตั้งค่ารายละเอียดเฟรม,프레임 상세 설정,إعدادات تفصيل الإطار,Impostazioni dettagli frame,Configurações de Detalhes de Quadro
button_animation_output,导出,Output,エクスポート,Export,Exporter,Exportar,Экспорт,ส่งออก,내보내기,تصدير,Esporta,Exportar
button_ballon,生成气球,Balloon,バルーンを生成,Ballon erstellen,Générer un ballon,Generar un globo,Создать воздушный шар,สร้างบอลลูน,풍선 생성,إنشاء بالون,Genera palloncino,Gerar Balão
button_Boss,选择Boss,Boss,ボスを選択,Boss auswählen,Sélectionner un boss,Seleccionar jefe,Выбрать босса,เลือกบอส,보스 선택,اختيار رئيس,Seleziona Boss,Selecionar Chefe
button_bug_report,Bug反馈,Bug Report,Bugレポート,Problembericht,Signaler un bug,Informe de errores,Отчет о баге,รายงานข้อบกพร่อง,버그 보고,تقرير الخلل,Segnala un bug,Relatar Bug
button_builtin,内置,Built In,ビルトイン,Aufgebaut,Construit,Incorporado,Встроенный,สร้าง,포함된,مدمج,Integrato,Construídas em
button_builtin_import_animation,导入到动画,Import to Animations,アニメーションにインポート,In Animationen importieren,Importer dans les animations,Importar a animaciones,Импортировать в анимации,นำเข้าไปยังภาพเคลื่อนไหว,애니메이션으로 가져오기,استيراد إلى الرسوم المتحركة,Importa in animazioni,Importar para Animações
button_builtin_import_background,导入到背景,Import to Backgrounds,背景にインポート,In Hintergründe importieren,Importer dans les arrière-plans,Importar a fondos,Импортировать в фоны,นำเข้าไปยังพื้นหลัง,배경으로 가져오기,استيراد إلى الخلفيات,Importa in sfondi,Importar para Fundos
button_builtin_import_group,分组,Group,グループにインポート,In Gruppen importieren,Importer dans les groupes,Importar a grupos,Импортировать в группы,นำเข้าเข้าไปยังกลุ่ม,그룹으로 가져오기,استيراد إلى المجموعات,Importa in gruppi,Importar para Grupos
button_builtin_import_icon,导入到图标,Import to Icons,アイコンにインポート,In Icons importieren,Importer dans les icônes,Importar a iconos,Импортировать в иконки,นำเข้าไปยังไอคอน,아이콘으로 가져오기,استيراد إلى الرموز,Importa in icone,Importar para Ícones
button_builtin_import_image,导入到图像,Import to Images,画像にインポート,In Bilder importieren,Importer dans les images,Importar a imágenes,Импортировать в изображения,นำเข้าไปยังรูปภาพ,이미지로 가져오기,استيراد إلى الصور,Importa in immagini,Importar para Imagens
button_builtin_import_music,导入到音乐,Import to Music,音楽にインポート,In Musik importieren,Importer dans la musique,Importar a música,Импортировать в музыку,นำเข้าเข้าไปยังเพลง,음악으로 가져오기,استيراد إلى الموسيقى,Importa in musica,Importar para Música
button_builtin_import_project,导入到项目,Import to Project,プロジェクトにインポート,In Projekt importieren,Importer dans le projet,Importar al proyecto,Импортировать в проект,นำเข้าไปยังโปรเจค,프로젝트로 가져오기,استيراد إلى المشروع,Importa in progetto,Importar para Projeto
button_builtin_import_sprite,导入到精灵,Import to Sprites,スプライトにインポート,In Sprites importieren,Importer dans les sprites,Importar a sprites,Импортировать в спрайты,นำเข้าไปยังสไปรต์,스프라이트로 가져오기,استيراد إلى الرسومات المتحركة,Importa in sprite,Importar para Sprites
button_cancel,取消,Cancel,キャンセル,Abbrechen,Annuler,Cancelar,Отмена,ยกเลิก,취소,إلغاء,Annulla,Cancelar
button_change_icon,变更图标,Change Icon,アイコン変更,Symbol ändern,Changer l'icône,Cambiar icono,Изменить значок,เปลี่ยนไอคอน,아이콘 변경,تغيير الرمز,Modifica icona,Alterar Ícone
button_change_image,变更图片,Change Image,画像変更,Bild ändern,Changer d'image,Cambiar imagen,Изменить изображение,เปลี่ยนรูปภาพ,이미지 변경,تغيير الصورة,Cambia immagine,Alterar Imagem
button_changecolor,变色,Switch Color,色を変える,Farbe ändern,Changer de couleur,Cambiar de color,Изменить цвет,สลับสี,색 변경,تغيير اللون,Cambia colore,Alternar Cor
button_changeframes,变更帧数,Change the Frames,フレームを変更,Die Frames ändern,Changer les images,Modificar las imágenes,Изменить кадры,เปลี่ยนเฟรม,프레임 변경,تغيير الإطارات,Modifica i fotogrammi,Alterar os Quadros
button_changename,更名,Change Name,名前を変更,Name ändern,Changer de nom,Cambiar nombre,Изменить имя,เปลี่ยนชื่อ,이름 변경,تغيير الاسم,Cambia nome,Alterar Nome
button_changename,改名,Change Name,名前を変更,Name ändern,Changer de nom,Cambiar nombre,Изменить имя,เปลี่ยนชื่อ,이름 변경,تغيير الاسم,Cambia nome,Alterar Nome
button_character,角色,Characters,キャラクター,Charakter,Personnages,Personajes,Персонажи,ตัวละคร,캐릭터,شخصيات,Personaggi,Personagens
button_character,选取,Select,選択,auswählen,Sélectionner,Seleccionar,Выбрать,เลือก,선택,اختيار,Seleziona,Selecionar
button_character,选择角色,Character,キャラクターを選択,Charakter auswählen,Sélectionner un personnage,Seleccionar personaje,Выбрать персонажа,เลือกตัวละคร,캐릭터 선택,اختيار شخصية,Seleziona un personaggio,Selecionar Personagem
button_character_advance,进阶属性,Advanced Attributes,高度な属性,Erweiterte Attribute,Attributs avancés,Atributos avanzados,Расширенные характеристики,คุณลักษณะขั้นสูง,고급 속성,خصائص متقدمة,Attributi avanzati,Atributos Avançados
button_character_animation,角色动画,Character Animations,キャラクターアニメーション,Charakteranimationen,Animations de personnage,Animaciones de personaje,Анимации персонажей,อนิเมชันตัวละคร,캐릭터 애니메이션,رسوم متحركة الشخصيات,Animazioni del personaggio,Animações de Personagens
button_character_appearance,外观设置,Appearance,外観,Äußeres,Apparence,Apariencia,Внешность,ลักษณะ,외관 설정,المظهر,Aspetto,Aspecto
button_character_basic,基本属性,Basic Attributes,基本属性,Grundattribute,Attributs de base,Atributos básicos,Основные характеристики,คุณลักษณะพื้นฐาน,기본 속성,السمات الأساسية,Attributi di base,Atributos Básicos
button_character_battle,战斗姿态,Battle,バトルスタンス,Kampf,Bataille,Modo de Batalla,Боевая стойка,ท่าการต่อสู้,전투,وضع القتال,Posizione di combattimento,Postura de combate
button_character_die,倒下,Die,倒れる,Stirb,Mourir,Morir,Умереть,ตาย,죽다,موت,Morire,Morir
button_character_equipment,初始装备,Equipments,初期装備,Ausrüstung,Équipement,Equipo inicial,Начальное снаряжение,อุปกรณ์เริ่มต้น,초기 장비,التجهيزات الابتدائية,Equipaggiamento,Equipamentos Iniciais
button_character_info,基本信息,Information,基本情報,Information,Information,Información,Информация,ข้อมูล,기본 정보,معلومات أساسية,Informazioni,Informações
button_character_random,随机生成角色,Random Create,ランダムなキャラクターを作成する,Zufällige Erstellung,Création aléatoire,Crear aleatoriamente,Случайное создание,สร้างแบบสุ่ม,랜덤으로 생성,إنشاء عشوائي,Creazione casuale,Criar Aleatoriamente
button_character_run,奔跑,Run,走る,Laufen,Courir,Correr,Бегать,วิ่ง,달리기,الجري,Correre,Correr
