LANGUAGE,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,português
cp_bo,变装:上衣,OUTFIT:TORSO,変装:トップス,VERKLEIDUNG:OBERTEIL,TENUE:TORSO,ATUENDO:TORSO,КОСТЮМ:ТОРСО,เครื่องแต่งกาย:ลำตัว,의상:상의,زي:الجزء العلوي,ABBIGLIAMENTO:TORSO,VESTUÁRIO:TORSO
cp_ha,变装:前发,OUTFIT:FOREHAIR,変装:前髪,VERKLEIDUNG:VORDERHAAR,TENUE:FRONT DE CHEVEUX,ATUENDO:PELO FRONTAL,КОСТЮМ:ПЕРЕДНИЕ ВОЛОСЫ,เครื่องแต่งกาย:ผมด้านหน้า,의상:앞머리,زي:الشعر الأمامي,ABBIGLIAMENTO:CAPPELLI ANTERIORI,VESTUÁRIO:FRONTAL
cp_ou,变装:套装,OUTFIT:SUIT,変装:スーツ,VERKLEIDUNG:ANZUG,TENUE:COMBINAISON,ATUENDO:TRAJE,КОСТЮМ:КОСТЮМ,เครื่องแต่งกาย:สูท,의상:정장,زي:بدلة,ABBIGLIAMENTO:COMPLETO,VESTUÁRIO:TERNO
cp_pa,变装:裤子,OUTFIT:PANTS,変装:パンツ,VERKLEIDUNG:HOSE,TENUE:PANTALON,ATUENDO:PANTALONES,КОСТЮМ:БРЮКИ,เครื่องแต่งกาย:กางเกง,의상:바지,زي:بنطلون,ABBIGLIAMENTO:PANTALONI,VESTUÁRIO:CALÇAS
cp_rh,变装:后发,OUTFIT:HAIR,変装:髪の毛,VERKLEIDUNG:HAARE,TENUE:CHEVEUX,ATUENDO:PELO,КОСТЮМ:ВОЛОСЫ,เครื่องแต่งกาย:ผม,의상:머리,زي:شعر,ABBIGLIAMENTO:CAPELLI,VESTUÁRIO:CABELO
cp_sh,变装:鞋,OUTFIT:SHOES,変装:シューズ,VERKLEIDUNG:SCHUHE,TENUE:CHAUSSURES,ATUENDO:ZAPATOS,КОСТЮМ:ОБУВЬ,เครื่องแต่งกาย:รองเท้า,의상:신발,زي:أحذية,ABBIGLIAMENTO:SCARPE,VESTUÁRIO:SAPATOS
cp_sk,变装:裙子,OUTFIT:SKIRT,変装:スカート,VERKLEIDUNG:ROCK,TENUE:JUPE,ATUENDO:FALDA,КОСТЮМ:ЮБКА,เครื่องแต่งกาย:กระโปรง,의상:치마,زي:تنورة,ABBIGLIAMENTO:GONNA,VESTUÁRIO:SAIA
cp_we,变装:武器,OUTFIT:WEAPON,変装:武器,VERKLEIDUNG:WAFFE,TENUE:ARME,ATUENDO:ARMA,КОСТЮМ:ОРУЖИЕ,เครื่องแต่งกาย:อาวุธ,의상:무기,زي:سلاح,ABBIGLIAMENTO:ARMA,VESTUÁRIO:ARMA
CUSTOMIZED,???,???,???,???,???,???,???,???,???,???,???,???
DEFENSIVE,???,???,???,???,???,???,???,???,???,???,???,???
DROPPED,降低了,HAS DROPPED,低下しました,hinterlies,a chuté,a disminuido,снизился,ลดลง,하락했습니다,انخفض,è sceso,caiu
ENTRYDISABLE,关闭,DISABLE,無効,Deaktivieren,Désactiver,Desactivar,Отключить,ปิดใช้งาน,비활성화,تعطيل,Disabilita,Desativar
ENTRYENABLE,开启,ENABLE,有効にする,Aktivieren,Activer,Activar,Включить,เปิดใช้งาน,활성화,تمكين,Abilita,Ativar
ENTRYFULLSCREEN,全屏,FULLSCREEN,フルスクリーン,Vollbild,Plein écran,Pantalla completa,Полноэкранный,เต็มหน้าจอ,전체 화면,ملء الشاشة,Schermo intero,Tela cheia
ENTRYVOLUME,音量大小,VOLUME,音量レベル,Lautstärke,Niveau de volume,Nivel de volumen,Уровень громкости,ระดับเสียง,볼륨 수준,مستوى الصوت,Livello del volume,Nível de volume
ENTRYWINDOW,窗口,WINDOW,ウィンドウ,Fenster,Fenêtre,Ventana,Окно,หน้าต่าง,창,نافذة,Finestra,Janela
EQ_SLOT0,武器,WEAPON,武器,WAFFE,ARME,ARMA,ОРУЖИЕ,อาวุธ,무기,سلاح,ARMA,ARMA
EQ_SLOT1,防具,ARMOR,防具,RÜSTUNG,ARMURE,ARMADURA,БРОНЯ,เกราะ,방어구,درع,ARMATURA,ARMADURA
EQ_SLOT2,自定义装备栏2,Custom Equipment Slot 2,カスタム装備スロット2,Angepasster Ausrüstungsplatz 2,Emplacement d'équipement personnalisé 2, Ranura de equipo personalizado 2,Пользовательский слот для экипировки 2,สล็อตอุปกรณ์ที่กำหนดเอง 2,사용자 정의 장비 슬롯 2,فتحة معدات مخصصة 2,Slot attrezzatura personalizzata 2,Slot de Equipamento Personalizado 2
EQ_SLOT3,自定义装备栏3,Custom Equipment Slot 3,カスタム装備スロット3,Angepasster Ausrüstungsplatz 3,Emplacement d'équipement personnalisé 3, Ranura de equipo personalizado 3,Пользовательский слот для экипировки 3,สล็อตอุปกรณ์ที่กำหนดเอง 3,사용자 정의 장비 슬롯 3,فتحة معدات مخصصة 3,Slot attrezzatura personalizzata 3,Slot de Equipamento Personalizado 3
EQ_SLOT4,自定义装备栏4,Custom Equipment Slot 4,カスタム装備スロット4,Angepasster Ausrüstungsplatz 4,Emplacement d'équipement personnalisé 4, Ranura de equipo personalizado 4,Пользовательский слот для экипировки 4,สล็อตอุปกรณ์ที่กำหนดเอง 4,사용자 정의 장비 슬롯 4,فتحة معدات مخصصة 4,Slot attrezzatura personalizzata 4,Slot de Equipamento Personalizado 4
EQ_SLOT5,自定义装备栏5,Custom Equipment Slot 5,カスタム装備スロット5,Angepasster Ausrüstungsplatz 5,Emplacement d'équipement personnalisé 5, Ranura de equipo personalizado 5,Пользовательский слот для экипировки 5,สล็อตอุปกรณ์ที่กำหนดเอง 5,사용자 정의 장비 슬롯 5,فتحة معدات مخصصة 5,Slot attrezzatura personalizzata 5,Slot de Equipamento Personalizado 5
EQ_SLOT6,自定义装备栏6,Custom Equipment Slot 6,カスタム装備スロット6,Angepasster Ausrüstungsplatz 6,Emplacement d'équipement personnalisé 6, Ranura de equipo personalizado 6,Пользовательский слот для экипировки 6,สล็อตอุปกรณ์ที่กำหนดเอง 6,사용자 정의 장비 슬롯 6,فتحة معدات مخصصة 6,Slot attrezzatura personalizzata 6,Slot de Equipamento Personalizado 6
EQ_SLOT7,自定义装备栏7,Custom Equipment Slot 7,カスタム装備スロット7,Angepasster Ausrüstungsplatz 7,Emplacement d'équipement personnalisé 7, Ranura de equipo personalizado 7,Пользовательский слот для экипировки 7,สล็อตอุปกรณ์ที่กำหนดเอง 7,사용자 정의 장비 슬롯 7,فتحة معدات مخصصة 7,Slot attrezzatura personalizzata 7,Slot de Equipamento Personalizado 7
EQ_SLOT8,自定义装备栏8,Custom Equipment Slot 8,カスタム装備スロット8,Angepasster Ausrüstungsplatz 8,Emplacement d'équipement personnalisé 8, Ranura de equipo personalizado 8,Пользовательский слот для экипировки 8,สล็อตอุปกรณ์ที่กำหนดเอง 8,사용자 정의 장비 슬롯 8,فتحة معدات مخصصة 8,Slot attrezzatura personalizzata 8,Slot de Equipamento Personalizado 8
EQ_SLOT9,自定义装备栏9,Custom Equipment Slot 9,カスタム装備スロット9,Angepasster Ausrüstungsplatz 9,Emplacement d'équipement personnalisé 9, Ranura de equipo personalizado 9,Пользовательский слот для экипировки 9,สล็อตอุปกรณ์ที่กำหนดเอง 9,사용자 정의 장비 슬롯 9,فتحة معدات مخصصة 9,Slot attrezzatura personalizzata 9,Slot de Equipamento Personalizado 9
EQUIPMENT,装备,EQUIPMENT,装備,Ausrüstung,Équipement,Equipo,Оборудование,อุปกรณ์,장비,تجهيزات,Attrezzatura,Equipamento
EXP,经验值,EXP,経験値,EXP,EXP,EXP,Опыт,EXP,경험치,خبرة,EXP,EXP
FAME,声望,FAME,名声,RENOMMEE,RÉPUTATION,FAMA,СЛАВА,ชื่อเสียง,명성,شهرة,FAMA,FAMA
FEMALE,女性,FEMALE,女性,WEIBLICH,FÉMININ,FEMENINO,ЖЕНСКИЙ,หญิง,여성,أنثى,FEMMINILE,FEMININO
GAMEHOUR,小时,HOUR,ゲーム時間,Stunde,HEURE,HORA,ЧАС,ชั่วโมงที่ใช้ในเกม,시간,ساعة,ORA,HORA
GAMEOVER,游戏结束,GAME OVER,ゲームオーバー,SPIEL VORBEI,FIN DU JEU,FIN DEL JUEGO,КОНЕЦ ИГРЫ,จบเกม,게임 오버,نهاية اللعبة,FINE GIOCO,FIM DE JOGO
GAMESAVE,存档次数,SAVE TIMES,ゲームセーブ,Speicherzeiten,ENREGISTREMENTS,VECES GUARDADAS,ВРЕМЯ СОХРАНЕНИЯ,ครั้งการบันทึก,게임 저장,مرات الحفظ,SALVA GIOCO,VEZES SALVAS
GAMESEC,秒,SECONDS,ゲーム秒,SEKUNDEN,SECONDES,SEGUNDOS,СЕКУНДЫ,วินาที,초,ثواني,SECONDI,SEGUNDOS
GAMETEAM,队伍成员,TEAM MEMBERS,ゲームチーム,TEAMMITGLIEDER,MEMBRES D'ÉQUIPE,MIEMBROS DEL EQUIPO,КОМАНДА,สมาชิกทีม,팀 멤버,أعضاء الفريق,MEMBRI DEL TEAM,MEMBROS DA EQUIPE
GAMETIME,游戏时长,GAME TIME,ゲームタイム,SPIELDAUER,DURÉE DU JEU,TIEMPO DE JUEGO,ВРЕМЯ ИГРЫ,เวลาเกม,게임 시간,وقت اللعب,TEMPO DI GIOCO,TEMPO DE JOGO
GENERAL,通常,GENERAL,一般,ALLGEMEIN,GÉNÉRAL,GENERAL,ОБЩИЙ,ทั่วไป,일반,عام,GENERALE,GERAL
GOLD,金,GOLD,ゴールド,Gold,OR,ORO,ЗОЛОТО,ทอง,금,ذهب,ORO,OURO
HP,生命,HP,HP,Lebenspunkte,points de vie,Puntos de vida,Здоровье,ความสามารถในการหายใจ,생명력,نقاط الصحة,Punti vita,Pontos de Vida
HPMAX,最大生命,MAX HP,最大生命,MAX HP,MAX HP,MAX HP,МАКС ЗДОРОВЬЕ,MAX HP,HP สูงสุด,최대 생명력,الحد الأقصى لنقاط الصحة,HP MASSIMO,HP MÁXIMO
ITEM_DURATION,持续时间,DURATION,アイテムの持続時間,DAUER,DURÉE,DURACIÓN,ДЛИТЕЛЬНОСТЬ,ระยะเวลาของไอเทม,아이템 지속 시간,مدة العنصر,DURATA,TEMPO DE DURAÇÃO
ITEM_EFFECT0,无效果,NO EFFECT,アイテム効果なし,KEINE WIRKUNG,AUCUN EFFET,SIN EFECTO,НЕТ ЭФФЕКТА,ไม่มีผล,효과 없음,بدون تأثير,NESSUN EFFETTO,SEM EFEITO
ITEM_EFFECT1,复活,REVIVE,アイテム効果：蘇生,ITEM WIRKUNG: BELEBEN,EFFET D'OBJET : REVIVRE,EFECTO DEL ÍTEM: REVIVIR,ЭФФЕКТ ПРЕДМЕТА: ВОСКРЕШЕНИЕ,ผลของไอเทม: ฟื้นคืนชีวิต,아이템 효과: 부활,تأثير العنصر: إحياء,EFFETTO DELL'OGGETTO: RIPRISTINA,EFECTO DO ITEM: REVIVER
ITEM_EFFECT10,受伤解除,WOUND RECOVER,アイテム効果：傷回復,ITEM WIRKUNG: WUNDE WIEDERHERSTELLEN,EFFET D'OBJET : GUÉRISON DES BLESSURES,EFECTO DEL ÍTEM: RECUPERAR HERIDAS,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ РАН,ผลของไอเทม: ฟื้นคืนบาดแผล,아이템 효과: 상처 회복,تأثير العنصر: استعادة الجروح,EFFETTO DELL'OGGETTO: RECUPERO FERITE,EFECTO DO ITEM: RECUPERAR FERIDAS
ITEM_EFFECT11,中毒,POISON,アイテム効果：毒,ITEM WIRKUNG: VERGIFTUNG,EFFET D'OBJET : POISON,EFECTO DEL ÍTEM: VENENO,ЭФФЕКТ ПРЕДМЕТА: ОТРАВЛЕНИЕ,ผลของไอเทม: พิษ,아이템 효과: 중독,تأثير العنصر: سم,EFFETTO DELL'OGGETTO: VELENO,EFECTO DO ITEM: VENENO
ITEM_EFFECT12,中毒解除,POISON RECOVER,アイテム効果：毒解消,ITEM WIRKUNG: GIFT HEILEN,EFFET D'OBJET : GUÉRISON DU POISON,EFECTO DEL ÍTEM: RECUPERAR VENENO,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ ОТРАВЛЕНИЯ,ผลของไอเทม: ฟื้นคืนพิษ,아이템 효과: 중독 해제,تأثير العنصر: استعادة السم,EFFETTO DELL'OGGETTO: RIPRISTINA VELENO,EFECTO DO ITEM: RECUPERAR VENENO
ITEM_EFFECT13,失明,BLIND,アイテム効果：盲目,ITEM WIRKUNG: BLINDHEIT,EFFET D'OBJET : AVEUGLEMENT,EFECTO DEL ÍTEM: CEGUERA,ЭФФЕКТ ПРЕДМЕТА: СЛЕПОТА,ผลของไอเทม: สายตาบอด,아이템 효과: 실명,تأثير العنصر: العمى,EFFETTO DELL'OGGETTO: CECITÀ,EFECTO DO ITEM: CEGUEIRA
ITEM_EFFECT14,失明解除,BLIND RECOVER,アイテム効果：盲目解消,ITEM WIRKUNG: BLINDHEIT HEILEN,EFFET D'OBJET : GUÉRISON DE L'AVEUGLEMENT,EFECTO DEL ÍTEM: RECUPERAR CEGUERA,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ СЛЕПОТЫ,ผลของไอเทม: ฟื้นคืนการสายตา,아이템 효과: 실명 해제,تأثير العنصر: استعادة العمى,EFFETTO DELL'OGGETTO: RIPRISTINA CECITÀ,EFECTO DO ITEM: RECUPERAR CEGUEIRA
ITEM_EFFECT15,全部解除,ALL RECOVER,アイテム効果：すべて解消,ITEM WIRKUNG: ALLES HEILEN,EFFET D'OBJET : TOUT GUÉRIR,EFECTO DEL ÍTEM: RECUPERAR TODO,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ ВСЕГО,ผลของไอเทม: ฟื้นคืนทั้งหมด,아이템 효과: 모두 해제,تأثير العنصر: استعادة الكل,EFFETTO DELL'OGGETTO: RIPRISTINA TUTTO,EFECTO DO ITEM: RECUPERAR TUDO
ITEM_EFFECT2,即死,DEATH,アイテム効果：即死,ITEM WIRKUNG: TOD,EFFET D'OBJET : MORT,EFECTO DEL ÍTEM: MUERTE,ЭФФЕКТ ПРЕДМЕТА: СМЕРТЬ,ผลของไอเทม: ตาย,아이템 효과: 사망,تأثير العنصر: الموت,EFFETTO DELL'OGGETTO: MORTE,EFECTO DO ITEM: MORTE
ITEM_EFFECT3,晕眩,STUN,アイテム効果：スタン,ITEM WIRKUNG: BETÄUBEN,EFFET D'OBJET : ÉTOURDIR,EFECTO DEL ÍTEM: ATURDIR,ЭФФЕКТ ПРЕДМЕТА: ОГЛУШЕНИЕ,ผลของไอเทม: ชะลอ,아이템 효과: 기절,تأثير العنصر: إصابة,EFFETTO DELL'OGGETTO: STORDIMENTO,EFECTO DO ITEM: ATORDOAR
ITEM_EFFECT4,晕眩解除,STUN RECOVER,アイテム効果：スタン解消,ITEM WIRKUNG: BETÄUBUNG HEILEN,EFFET D'OBJET : GUÉRISON D'ÉTOURDISSEMENT,EFECTO DEL ÍTEM: RECUPERAR ATURDIMIENTO,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ ОГЛУШЕНИЯ,ผลของไอเทม: ฟื้นคืนการชะลอ,아이템 효과: 기절 해제,تأثير العنصر: استعادة الإصابة,EFFETTO DELL'OGGETTO: RIPRISTINA STORDIMENTO,EFECTO DO ITEM: RECUPERAR ATORDOAMENTO
ITEM_EFFECT5,减速,SLOW,アイテム効果：スロウ,ITEM WIRKUNG: VERLANGSAMUNG,EFFET D'OBJET : RALENTISSEMENT,EFECTO DEL ÍTEM: RALENTIZAR,ЭФФЕКТ ПРЕДМЕТА: ЗАМЕДЛЕНИЕ,ผลของไอเทม: ลดความเร็ว,아이템 효과: 느려짐,تأثير العنصر: بطء,EFFETTO DELL'OGGETTO: SLOW,EFECTO DO ITEM: DEVAGAR
ITEM_EFFECT6,减速解除,SLOW RECOVER,アイテム効果：スロウ解消,ITEM WIRKUNG: VERLANGSAMUNG HEILEN,EFFET D'OBJET : GUÉRISON DU RALENTISSEMENT,EFECTO DEL ÍTEM: RECUPERAR RALENTIZAR,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ ЗАМЕДЛЕНИЯ,ผลของไอเทม: ฟื้นคืนความช้า,아이템 효과: 느려짐 해제,تأثير العنصر: استعادة البطء,EFFETTO DELL'OGGETTO: RIPRISTINA SLOW,EFECTO DO ITEM: RECUPERAR DEVAGAR
ITEM_EFFECT7,流血,BLEED,アイテム効果：出血,ITEM WIRKUNG: BLUTUNG,EFFET D'OBJET : SAIGNEMENT,EFECTO DEL ÍTEM: SANGRAR,ЭФФЕКТ ПРЕДМЕТА: КРОВОТЕЧЕНИЕ,ผลของไอเทม: การไหลเลือด,아이템 효과: 출혈,تأثير العنصر: نزيف,EFFETTO DELL'OGGETTO: SANGUINAMENTO,EFECTO DO ITEM: SANGRAR
ITEM_EFFECT8,流血解除,BLEED RECOVER,アイテム効果：出血解消,ITEM WIRKUNG: BLUTUNG HEILEN,EFFET D'OBJET : GUÉRISON DU SAIGNEMENT,EFECTO DEL ÍTEM: RECUPERAR SANGRADO,ЭФФЕКТ ПРЕДМЕТА: ВОССТАНОВЛЕНИЕ КРОВОТЕЧЕНИЯ,ผลของไอเทม: ฟื้นคืนการไหลเลือด,아이템 효과: 출혈 해제,تأثير العنصر: استعادة النزيف,EFFETTO DELL'OGGETTO: RIPRISTINA SANGUINAMENTO,EFECTO DO ITEM: RECUPERAR SANGRAR
ITEM_EFFECT9,受伤,WOUND,アイテム効果：傷つける,ITEM WIRKUNG: VERLETZUNG,EFFET D'OBJET : BLESSURE,EFECTO DEL ÍTEM: HERIR,ЭФФЕКТ ПРЕДМЕТА: РАНА,ผลของไอเทม: บาดแผล,아이템 효과: 상처 입히기,تأثير العنصر: جرح,EFFETTO DELL'OGGETTO: FERITA,EFECTO DO ITEM: FERIR
ITEMALL,全部,ALL,アイテム全て,ALLE,EFFETS DES OBJETS,TODOS LOS ÍTEMS,ВСЕ ПРЕДМЕТЫ,ไอเทมทั้งหมด,모든 아이템,جميع العناصر,TUTTI GLI OGGETTI,TODOS OS ITENS
ITEMCONSUME,消耗品,CONSUME,アイテム消耗,VERBRAUCHEN,UTILISER UN OBJET,CONSUMIR,ПОТРЕБЛЯТЬ,บริโภคไอเทม,아이템 사용,استهلاك العنصر,CONSUMARE,CONSUMIR ITEM
ITEMEQUIP,装备,EQUIPMENTS,アイテム装備,AUSRÜSTUNG,ÉQUIPEMENTS,EQUIPAMIENTO,СНАРЯЖЕНИЕ,อุปกรณ์,장비 아이템,تجهيزات,ATTREZZATURA,ACESSÓRIOS
ITEMINFO,物品简介,ITEM INFORMATION,アイテム情報,GEGENSTANDSINFORMATION,INFORMATIONS SUR L'OBJET,INFORMACIÓN DEL ÍTEM,ИНФОРМАЦИЯ О ПРЕДМЕТЕ,ข้อมูลไอเทม,아이템 정보,معلومات العنصر,INFORMAZIONI SULL'OGGETTO,INFORMAÇÕES DO ITEM
ITEMKEY,关键物品,KEY ITEMS,アイテムキー,WAICHSCHLÜSSEL,OBJETS CLÉS,OBJETOS CLAVE,КЛЮЧЕВЫЕ ПРЕДМЕТЫ,ไอเทมสำคัญ,중요한 아이템,العناصر الرئيسية,OGGETTI CHIAVE,ITENS CHAVE
ITEMLAST,最近物品,RECENT,最新アイテム,LETZTE OBJEKTE,DERNIERS OBJETS,ÚLTIMOS ÍTEMS,ПОСЛЕДНИЕ ПРЕДМЕТЫ,ไอเทมล่าสุด,최근 아이템,العناصر الأخيرة,ULTIMI,ITENS RECENTES
ITEMLEVEL,物品等级,ITEM LEVEL,アイテムレベル,OBJEKTSTUFE,NIVEAU DE L'OBJET,NIVEL DEL ÍTEM,УРОВЕНЬ ПРЕДМЕТА,ระดับไอเทม,아이템 레벨,مستوى العنصر,LIVELLO DELL'OGGETTO,NÍVEL DO ITEM
ITEMWASTE,其他,OTHERS,アイテム不明,ANDERE,INCONNUS,OTROS,ДРУГИЕ,อื่น ๆ,기타,غيرها,ALTRE,OUTROS
ITEMWEIGHT,物品重量,ITEM WEIGHT,アイテム重さ,GEWICHT,POIDS DE L'OBJET,PESO DEL ÍTEM,ВЕС ПРЕДМЕТА,น้ำหนักไอเทม,아이템 무게,وزن العنصر,POIDS DE L'OBJET,OUTROS
LASTPAGE,上页,PREVIOUS,前のページ,ZURÜCK,VENDREDI PRÉCÉDENT,PÁGINA ANTERIOR,ПРЕДЫДУЩАЯ СТРАНИЦА,หน้าที่แล้ว,이전,الصفحة السابقة,PAGINA PRECEDENTE,PÁGINA ANTERIOR
MALE,男性,MALE,男性,MÄNNLICH,MALE,MALE,МУЖЧИНА,ชาย,남성,ذكر,MALE,MALE
MAPVIEW,查看地图,VIEW MAP,マップ表示,KARTE ANZEIGEN,AFFICHER LA CARTE,VER MAPA,ПРОСМОТР КАРТЫ,ดูแผนที่,맵 보기,عرض الخريطة,VISUALIZZA MAPPA,VER MAPA
MAX,最大,MAX,最大,MAX,MAX,MAX,МАКСИМУМ,สูงสุด,최대,الحد الأقصى,MASSIMO,MÁXIMO
MENUACHIEVEMENT,成就,ACHIEVEMENTS,成果,ERRUNGENSCHAFTEN,RÉALISATIONS,LOGROS,ДОСТИЖЕНИЯ,รางวัล,업적,إنجازات,OBBIETTIVI,RÉALISATIONS
MENUBUY,购买,PURCHASE,買う,KAUFEN,ACHETER,COMPRAR,ПОКУПКА,ซื้อ,구매,شراء,ACQUISTA,COMPRAR
MENUCANCEL,取消,CANCEL,キャンセル,ABBRECHEN,ANNULER,CANCELAR,ОТМЕНА,ยกเลิก,취소,إلغاء,ANNULLA,CANCELAR
MENUCHARACTERINFO,角色信息,CHARACTER INFO,キャラクター情報,CHARACTER INFO,INFO PERSONNAGE,INFORMACIÓN DEL PERSONAJE,ИНФОРМАЦИЯ О ПЕРСОНАЖЕ,ข้อมูลตัวละคร,캐릭터 정보,معلومات الشخصية,INFORMAZIONI DEL PERSONAGGIO,INFORMAÇÕES DO PERSONAGEM
MENUCOIN,请按开始键,PRESS START,スタートキーを押してください,PRESS START,APPUYEZ SUR START,PULSA START,НАЖМИТЕ START,กด START,START를 누르세요,اضغط على بدء,PREMERE START,PRESSIONE START
MENUCONFIRM,确认,CONFIRM,確認する,CONFIRM,CONFIRMER,CONFIRMAR,ПОДТВЕРДИТЬ,ยืนยัน,확인,تأكيد,CONFERMA,CONFIRMAR
MENUCONTINUE,继续,CONTINUE,続く,CONTINUE,CONTINUER,CONTINUAR,ПРОДОЛЖИТЬ,ดำเนินการต่อ,계속,استمرار,CONTINUA,CONTINUAR
